,Personal Data,,,,Electoral Data,,,,,,,,,,,,,Endorsement Data,,,,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,FEC id,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,WFP,CPC,Sunrise,Sanders,RFFA,AIPAC,DMFI,J Street,Party Committee,Notes
Joe Reagan,Male,white,,,No,No,Colorado,6/25/24,Representative,5,,20313,49.41%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
River Gassen,Female,white,,,No,No,Colorado,6/25/24,Representative,5,,20802,50.59%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jason Crow,Male,white,,,Yes,No,Colorado,6/25/24,Representative,6,H8CO06229,55837,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,
Brittany Pettersen,Female,white,,,Yes,No,Colorado,6/25/24,Representative,7,H8CO07045,71052,100.00%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,N/A,
Yadira Caraveo,Female,hispanic (mexican),,,Yes,No,Colorado,6/25/24,Representative,8,H2CO08020,35409,100.00%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,N/A,
John P. Avlon,Male,white,,,No,No,New York,6/25/24,Representative,1,,19380,69.64%,Won,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,
Nancy S. Goroff,Female,white,,,No,No,New York,6/25/24,Representative,1,,8253,29.66%,Lost,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,No,Yes,N/A,
Rob Lubin,Male,white,,,No,No,New York,6/25/24,Representative,2,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Thomas R. Suozzi,Male,white,,,Yes,No,New York,6/25/24,Representative,3,H6NY03247,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,N/A,
Laura A. Gillen,Female,white,,,No,No,New York,6/25/24,Representative,4,,1,100.00%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,Yes,
Gregory W. Meeks,Male,black,,,Yes,No,New York,6/25/24,Representative,5,H8NY06048,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,
Grace Meng,Female,asian,,,Yes,No,New York,6/25/24,Representative,6,H2NY06116,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,
Nydia M. Velazquez,Female,Hispanic (puerto rican),,,Yes,No,New York,6/25/24,Representative,7,H2NY00010,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Hakeem Jeffries,Male,black,,,Yes,No,New York,6/25/24,Representative,8,H2NY10092,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,
Yvette D. Clarke,Female,black,,,Yes,No,New York,6/25/24,Representative,9,H4NY11138,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,Yes,N/A,
Daniel Goldman,Male,white,,,Yes,No,New York,6/25/24,Representative,10,H2NY10308,23595,63.09%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,Yes,Yes,N/A,
Bruno Grandsard,Male,white,,,No,Yes,New York,6/25/24,Representative,10,,3792,10.14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,No,No,N/A,
Evan Hutchison,Male,white,,,No,Yes,New York,6/25/24,Representative,10,,8412,22.49%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,No,No,N/A,
Andrea Morse,Female,white,,,No,No,New York,6/25/24,Representative,11,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jerry Nadler,Male,white,,,Yes,No,New York,6/25/24,Representative,12,H2NY17071,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Adriano Espaillat,Male,hispanic (dominican),,,Yes,No,New York,6/25/24,Representative,13,H2NY13096,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Alexandria Ocasio-Cortez,Female,Hispanic (puerto rican),,,Yes,No,New York,6/25/24,Representative,14,H8NY15148,20136,80.41%,Won,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Martin W. Dolan,Male,white,,,No,Yes,New York,6/25/24,Representative,14,,4355,17.39%,Lost,N/A,N/A,N/A,N/A,No,N/A,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,
Ritchie Torres,Male,black,,,Yes,No,New York,6/25/24,Representative,15,H0NY15160,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Jamaal A. Bowman,Male,black,,,Yes,No,New York,6/25/24,Representative,16,H0NY16143,32440,41.16%,Lost,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,Yes,N/A,No,No,N/A,N/A,
George S. Latimer,Male,white,,,No,Yes,New York,6/25/24,Representative,16,,45909,58.26%,Won,N/A,N/A,N/A,N/A,No,N/A,No,No,No,No,N/A,Yes,Yes,N/A,N/A,
Mondaire L. Jones,Male,black,,,No,No,New York,6/25/24,Representative,17,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,
Pat Ryan,Male,white,,,Yes,No,New York,6/25/24,Representative,18,H8NY19223,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,
Josh Riley,Male,white,,,No,No,New York,6/25/24,Representative,19,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,Yes,N/A,Yes,
Paul D. Tonko,Male,white,,,Yes,No,New York,6/25/24,Representative,20,H8NY21203,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Paula Collins,Female,white,,,No,No,New York,6/25/24,Representative,21,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John W. Mannion,Male,white,,,No,No,New York,6/25/24,Representative,22,,16624,61.13%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Sarah Klee Hood,Female,white,,,No,No,New York,6/25/24,Representative,22,,10373,38.14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Thomas A. Carle,Male,white,,,No,No,New York,6/25/24,Representative,23,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
David Wagenhauser,Male,white,,,No,No,New York,6/25/24,Representative,24,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joseph D. Morelle,Male,white,,,Yes,No,New York,6/25/24,Representative,25,H8NY25105,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Timothy M. Kennedy,Male,white,,,Yes,No,New York,6/25/24,Representative,26,H4NY26078,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Kirsten E. Gillibrand,Female,white,,,Yes,No,New York,6/25/24,Senator,N/A,S0NY00410,1,100.00%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,
Bill Campbell,Male,white,,,No,No,Utah,6/25/24,Representative,1,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nathaniel Woodward,Male,,,,No,No,Utah,6/25/24,Representative,2,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Glenn J. Wright,Male,white,,,No,No,Utah,6/25/24,Representative,3,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Katrina Fallick-Wang,Female,white,,,No,No,Utah,6/25/24,Representative,4,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Caroline Gleich,Female,white,,,No,No,Utah,6/25/24,Senator,N/A,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brian Smith King,Male,white,,,No,No,Utah,6/25/24,Governor,N/A,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Andrei Cherny,Male,white (jewish),,,No,No,Arizona,7/30/24,Representative,1,,15596,21.31%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Marlene Galán-Woods,Female,hispanic (cuban),,,No,No,Arizona,7/30/24,Representative,1,,15490,21.17%,Lost,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Andrew Horne,Male,white,,,No,No,Arizona,7/30/24,Representative,1,,8991,12.29%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Kurt Kroemer,Male,white,,,No,No,Arizona,7/30/24,Representative,1,,2356,3.22%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Conor O'Callaghan,Male,white,,,No,No,Arizona,7/30/24,Representative,1,,13539,18.50%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Amish Shah,Male,asian (indian),,,No,No,Arizona,7/30/24,Representative,1,,17214,23.52%,Won,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Jonathan Nez,Male,native american (navajo),,,No,No,Arizona,7/30/24,Representative,2,,62033,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Raquel Terán,Female,hispanic,,,No,No,Arizona,7/30/24,Representative,3,,19045,44.48%,Lost,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,N/A,
Yassamin Ansari,Female,middle eastern (iranian),,,No,No,Arizona,7/30/24,Representative,3,,19087,44.58%,Won,N/A,N/A,N/A,N/A,N/A,No,No,No,No,N/A,No,N/A,Yes,No,N/A,
Duane Wooten,Male,black,,,No,No,Arizona,7/30/24,Representative,3,,4687,10.95%,Lost,N/A,N/A,N/A,N/A,N/A,No,No,No,No,N/A,No,N/A,No,No,N/A,
Greg Stanton,Male,white,,,Yes,No,Arizona,7/30/24,Representative,4,H8AZ09040,49178,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,
Katrina Schaffner,Female,white (german),,,No,No,Arizona,7/30/24,Representative,5,,42396,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kirsten Engel,Female,white,,,No,No,Arizona,7/30/24,Representative,6,,78178,100.00%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,
Raúl Grijalva,Male,hispanic (mexican),,,Yes,No,Arizona,7/30/24,Representative,7,H2AZ07070,55133,100.00%,Won,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Gregory Whitten,Male,white,,,No,No,Arizona,7/30/24,Representative,8,,47406,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Quacy Smith,Male,black,,,No,No,Arizona,7/30/24,Representative,9,,33784,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ruben Gallego,Male,white,,,No,No,Arizona,7/30/24,Senator,N/A,,498927,100.00%,Won,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,
Kevin Jenkins,Male,black,,,No,No,Tennessee,8/1/24,Representative,1,,5179,67.80%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bennett H. Lapides,Male,white,,,No,No,Tennessee,8/1/24,Representative,1,,2460,32.20%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jane George,Female,white,,,No,No,Tennessee,8/1/24,Representative,2,,25910,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jack Allen,Male,white,,,No,No,Tennessee,8/1/24,Representative,3,,17918,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Victoria Isabel Broderick,Female,white,,,No,No,Tennessee,8/1/24,Representative,4,,11708,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Maryam Abolfazli,Female,middle eastern (iranian),,,No,No,Tennessee,8/1/24,Representative,5,,29242,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lore Bergman,Female,white,,,No,No,Tennessee,8/1/24,Representative,6,,8684,42.20%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Clay Faircloth,Male,white,,,No,No,Tennessee,8/1/24,Representative,6,,7474,36.32%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cyril Focht,Male,white,,,No,No,Tennessee,8/1/24,Representative,6,,4422,21.49%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Megan Barry,Female,white,,,No,No,Tennessee,8/1/24,Representative,7,,22512,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sarah Freeman,Female,white,,,No,No,Tennessee,8/1/24,Representative,8,,5552,33.73%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Leonard Perkins,Male,black,,,No,No,Tennessee,8/1/24,Representative,8,,2160,13.12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lawrence A. Pivnick,Male,white,,,No,No,Tennessee,8/1/24,Representative,8,,1279,7.77%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lynnette P. Williams,Female,black,,,No,No,Tennessee,8/1/24,Representative,8,,2887,17.54%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brenda Woods,Female,unknown,,,No,No,Tennessee,8/1/24,Representative,8,,4580,27.83%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
M. Latroy A.-Williams,Male,black,,,No,Yes,Tennessee,8/1/24,Representative,9,,1936,4.75%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Steve Cohen,Male,white,,,Yes,No,Tennessee,8/1/24,Representative,9,H6TN09068,30042,73.71%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Kasandra L. Smith,Female,black,,,No,Yes,Tennessee,8/1/24,Representative,9,,1523,3.74%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Corey Strong,Male,black,,,No,Yes,Tennessee,8/1/24,Representative,9,,7258,17.81%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Marquita Bradshaw,Female,black,,,No,No,Tennessee,8/1/24,Senator,N/A,,44657,21.78%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lola Denise Brown,Female,black,,,No,No,Tennessee,8/1/24,Senator,N/A,,10027,4.89%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gloria Johnson,Female,white,,,No,No,Tennessee,8/1/24,Senator,N/A,,143962,70.20%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Civil Miller-Watkins,Female,black,,,No,No,Tennessee,8/1/24,Senator,N/A,,6420,3.13%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Paul Buskirk,Male,white,,,No,No,Kansas,8/6/24,Representative,1,,15240,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nancy Boyda,Female,white,,,No,No,Kansas,8/6/24,Representative,2,,13571,51.72%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Matt Kleinmann,Male,white,,,No,No,Kansas,8/6/24,Representative,2,,12670,48.28%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sharice Davids,Female,native american (ho-chunk nation),,,Yes,No,Kansas,8/6/24,Representative,3,H8KS03155,37837,100.00%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,N/A,
Esau Freeman,Male,white,,,No,No,Kansas,8/6/24,Representative,4,,10641,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Callie Barr,Female,white,,,No,No,Michigan,8/6/24,Representative,1,,40787,58.50%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bob Lorinser,Male,white,,,No,No,Michigan,8/6/24,Representative,1,,28936,41.50%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Lynch,Male,white,,,No,No,Michigan,8/6/24,Representative,2,,39503,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Salim Al-Shatel,Male,middle eastern (grandson of palestinian refugee),white (czech),,No,Yes,Michigan,8/6/24,Representative,3,,6665,9.36%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,N/A,
Hillary Scholten,Female,white,,,Yes,No,Michigan,8/6/24,Representative,3,H0MI03316,64546,90.64%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,N/A,
Jessica Swartz,Female,white,,,No,No,Michigan,8/6/24,Representative,4,,49169,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Libbi Urban,Female,white,,,No,No,Michigan,8/6/24,Representative,5,,36087,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Debbie Dingell,Female,white,,,Yes,No,Michigan,8/6/24,Representative,6,H4MI12079,101234,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Curtis Hertel,Male,white,,,No,No,Michigan,8/6/24,Representative,7,,72083,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,
Matt Collier,Male,white,,,No,No,Michigan,8/6/24,Representative,8,,21482,26.39%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,
Kristen McDonald Rivet,Female,white,,,No,No,Michigan,8/6/24,Representative,8,,43393,53.31%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,
Pamela Pugh,Female,black,,,No,No,Michigan,8/6/24,Representative,8,,16525,20.30%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,
Clinton St. Mosley,Male,white,,,No,No,Michigan,8/6/24,Representative,9,,41492,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Emily Busch,Female,white,,,No,No,Michigan,8/6/24,Representative,10,,8541,12.80%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Carl J. Marlinga,Male,white,,,No,No,Michigan,8/6/24,Representative,10,,32561,48.81%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tiffany Tilley,Female,black,,,No,No,Michigan,8/6/24,Representative,10,,8861,13.28%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Diane Young,Female,white,,,No,No,Michigan,8/6/24,Representative,10,,16282,24.41%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ahmed Ghanim,Male,middle eastern (egyptian),,,No,Yes,Michigan,8/6/24,Representative,11,,12391,12.91%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,
Haley Stevens,Female,white,,,Yes,No,Michigan,8/6/24,Representative,11,H8MI11254,83571,87.09%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,
Rashida Tlaib,Female,middle eastern (palestinian),,,Yes,No,Michigan,8/6/24,Representative,12,H8MI13250,84138,99.87%,Won,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,
Shakira Lynn Hawkins,Female,black,,,No,Yes,Michigan,8/6/24,Representative,13,,9171,11.30%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,
Shri Thanedar,Male,asian (indian),,,Yes,No,Michigan,8/6/24,Representative,13,H2MI13204,44546,54.91%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,
Mary Waters,Female,black,,,No,Yes,Michigan,8/6/24,Representative,13,,27408,33.78%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,
Harper Hill,Male,black,,,No,No,Michigan,8/6/24,Senator,N/A,,221053,23.67%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Elissa Slotkin,Female,white (jewish),,,No,No,Michigan,8/6/24,Senator,N/A,,712791,76.33%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,
Cori Bush,Female,black,,,Yes,No,Missouri,8/6/24,Representative,1,H8MO01143,56723,45.65%,Lost,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,No,N/A,N/A,
Wesley Bell,Male,black,,,No,Yes,Missouri,8/6/24,Representative,1,,63521,51.12%,Won,N/A,N/A,N/A,N/A,No,N/A,No,N/A,No,N/A,No,Yes,Yes,N/A,N/A,
Maria N. Chappelle-Nadal,Female,black,,,No,Yes,Missouri,8/6/24,Representative,1,,3279,2.64%,Lost,N/A,N/A,N/A,N/A,No,N/A,No,N/A,No,N/A,No,No,No,N/A,N/A,
Ron Harshaw,Male,black,,,No,Yes,Missouri,8/6/24,Representative,1,,735,0.59%,Lost,N/A,N/A,N/A,N/A,No,N/A,No,N/A,No,N/A,No,No,No,N/A,N/A,
Ray Hartmann,Male,white,,,No,No,Missouri,8/6/24,Representative,2,,42605,77.74%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chuck Summers,Male,white,,,No,No,Missouri,8/6/24,Representative,2,,12200,22.26%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Andrew Daly,Male,white,,,No,No,Missouri,8/6/24,Representative,3,,9313,26.55%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bethany E. Mann,Female,white,,,No,No,Missouri,8/6/24,Representative,3,,25769,73.45%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
